Date,open,high,low,close,volumn,amt,avgprice,preClose,return,Turnover,PB,PE,Market,AvgMarket,AmountPCT,Dividend
2009/7/13,1637.7,1664.25,1637.36,1652.55,730000000,6367000000,10.74,1638.05,0.0088,0.0486,4.15,67.87,1425.79,29.1,0.0271,0.0049
2009/7/14,1658.74,1700.17,1656.22,1689.27,918000000,8401000000,10.93,1652.55,0.0222,0.0608,4.24,69.44,1462.62,29.85,0.0343,0.0048
2009/7/15,1688.81,1696.04,1680.49,1696.04,785000000,7296000000,11.01,1689.27,0.004,0.052,4.25,69.72,1468.48,29.97,0.0255,0.0048
2009/7/16,1694.12,1700.13,1678.03,1679.97,687000000,6429000000,10.94,1696.04,-0.0095,0.0455,4.21,69.06,1454.56,29.68,0.0221,0.0048
2009/7/17,1677.69,1688.13,1663.61,1684.5,638000000,5958000000,11,1679.97,0.0027,0.0422,4.22,69.24,1458.49,29.76,0.0243,0.0048
2009/7/20,1688.19,1709.65,1685.54,1709.65,706000000,6594000000,11.15,1684.5,0.0149,0.0467,4.29,70.36,1482.04,30.25,0.0219,0.0047
2009/7/21,1712.16,1712.89,1659.55,1662.84,716000000,6573000000,10.82,1709.65,-0.0274,0.0474,4.19,68.44,1441.46,29.42,0.0216,0.0049
2009/7/22,1661.25,1694.12,1661.21,1681.38,649000000,6049000000,10.92,1662.84,0.0111,0.043,4.22,69.2,1457.53,29.75,0.0227,0.0048
2009/7/23,1682.95,1718.03,1682.45,1715.3,746000000,7396000000,11.07,1681.38,0.0202,0.0494,4.31,70.6,1486.94,30.35,0.0284,0.0047
2009/7/24,1715.06,1715.1,1659.65,1684.43,650000000,6330000000,10.89,1715.3,-0.018,0.043,4.23,69.32,1460.18,29.8,0.0223,0.0048
2009/7/27,1688.15,1725.06,1688.15,1725.06,680000000,6848000000,11.11,1684.43,0.0241,0.045,4.33,71,1495.4,30.52,0.023,0.0047
2009/7/28,1726.78,1778.52,1715.36,1773.13,989000000,10224000000,11.4,1725.06,0.0279,0.0654,4.46,72.98,1537.07,31.37,0.0313,0.0046
2009/7/29,1760.43,1766.69,1620.46,1652.18,878000000,8562000000,10.7,1773.13,-0.0682,0.0581,4.15,68,1432.22,29.23,0.0248,0.0049
2009/7/30,1661.04,1682.04,1612.93,1671.01,585000000,5546000000,10.75,1652.18,0.0114,0.0387,4.2,68.77,1448.55,29.56,0.0205,0.0048
2009/7/31,1679.76,1719.24,1674.26,1713.63,581000000,5622000000,11.02,1671.01,0.0255,0.0385,4.3,70.53,1485.5,30.32,0.0202,0.0047
2009/8/3,1719.61,1762.65,1717.37,1759.93,711000000,7075000000,11.3,1713.63,0.027,0.0471,4.42,72.43,1525.58,31.13,0.0229,0.0046
